"Description","Coverage [%]","# Peptides","Found in Sample: [S4] F4: Sample, w/o sm, w/o Rs, none","Found in Sample: [S10] F10: Sample, w/o sm, w/o Rs, none","Found in Sample: [S12] F12: Sample, w/o sm, w/o Rs, none","Found in Sample: [S14] F14: Sample, w/o sm, w/o Rs, none","Found in Sample: [S16] F16: Sample, w/o sm, w/o Rs, none","Found in Sample: [S24] F24: Sample, w/o sm, w/o Rs, none","Found in Sample: [S27] F27: Sample, w/o sm, w/o Rs, none","Found in Sample: [S28] F28: Sample, w/o sm, w/o Rs, none","Found in Sample: [S53] F53: Sample, w/o sm, w/o Rs, none","Found in Sample: [S38] F38: Sample, w/o sm, with Rs, heavy","Found in Sample: [S39] F39: Sample, w/o sm, with Rs, heavy","Found in Sample: [S40] F40: Sample, w/o sm, with Rs, heavy","Found in Sample: [S41] F41: Sample, w/o sm, with Rs, heavy","Found in Sample: [S42] F42: Sample, w/o sm, with Rs, heavy","Found in Sample: [S44] F44: Sample, w/o sm, with Rs, heavy","Found in Sample: [S47] F47: Sample, w/o sm, with Rs, heavy","Found in Sample: [S48] F48: Sample, w/o sm, with Rs, heavy","Found in Sample: [S49] F49: Sample, w/o sm, with Rs, heavy","Found in Sample: [S5] F5: Sample, w/o sm, with Rs, light","Found in Sample: [S7] F7: Sample, w/o sm, with Rs, light","Found in Sample: [S9] F9: Sample, w/o sm, with Rs, light","Found in Sample: [S11] F11: Sample, w/o sm, with Rs, light","Found in Sample: [S13] F13: Sample, w/o sm, with Rs, light","Found in Sample: [S17] F17: Sample, w/o sm, with Rs, light","Found in Sample: [S23] F23: Sample, w/o sm, with Rs, light","Found in Sample: [S26] F26: Sample, w/o sm, with Rs, light","Found in Sample: [S29] F29: Sample, w/o sm, with Rs, light","Found in Sample: [S6] F6: Sample, with sm, w/o Rs, none","Found in Sample: [S8] F8: Sample, with sm, w/o Rs, none","Found in Sample: [S19] F19: Sample, with sm, w/o Rs, none","Found in Sample: [S20] F20: Sample, with sm, w/o Rs, none","Found in Sample: [S21] F21: Sample, with sm, w/o Rs, none","Found in Sample: [S25] F25: Sample, with sm, w/o Rs, none","Found in Sample: [S31] F31: Sample, with sm, w/o Rs, none","Found in Sample: [S33] F33: Sample, with sm, w/o Rs, none","Found in Sample: [S54] F54: Sample, with sm, w/o Rs, none","Found in Sample: [S35] F35: Sample, with sm, with Rs, heavy","Found in Sample: [S36] F36: Sample, with sm, with Rs, heavy","Found in Sample: [S37] F37: Sample, with sm, with Rs, heavy","Found in Sample: [S43] F43: Sample, with sm, with Rs, heavy","Found in Sample: [S45] F45: Sample, with sm, with Rs, heavy","Found in Sample: [S46] F46: Sample, with sm, with Rs, heavy","Found in Sample: [S50] F50: Sample, with sm, with Rs, heavy","Found in Sample: [S51] F51: Sample, with sm, with Rs, heavy","Found in Sample: [S52] F52: Sample, with sm, with Rs, heavy","Found in Sample: [S1] F1: Sample, with sm, with Rs, light","Found in Sample: [S2] F2: Sample, with sm, with Rs, light","Found in Sample: [S3] F3: Sample, with sm, with Rs, light","Found in Sample: [S15] F15: Sample, with sm, with Rs, light","Found in Sample: [S18] F18: Sample, with sm, with Rs, light","Found in Sample: [S22] F22: Sample, with sm, with Rs, light","Found in Sample: [S30] F30: Sample, with sm, with Rs, light","Found in Sample: [S32] F32: Sample, with sm, with Rs, light","Found in Sample: [S34] F34: Sample, with sm, with Rs, light"
"swissprot: Thioredoxin M4, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:7:177597374:177598949:-1 gene:gene-LSAT_7X105180 transcript:rna-gnl|WGS:NBSK|LSAT_7X105180_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",17,3,"High","High","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","High","High","High","Peak Found","Peak Found","High","High","High","High","High","High","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","Peak Found","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Fasciclin-like arabinogalactan protein 17 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:2:183866173:183866939:-1 gene:gene-LSAT_2X106361 transcript:rna-gnl|WGS:NBSK|LSAT_2X106361_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",24,3,"High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","Peak Found","High","High","High","Peak Found","High","Peak Found","High","High","High","High","Peak Found","High","High","High","High","High","Peak Found","High","High"
"swissprot: Pyridoxine/pyridoxamine 5'-phosphate oxidase 1, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:1:3045070:3057488:-1 gene:gene-LSAT_1X2401 transcript:rna-gnl|WGS:NBSK|LSAT_1X2401_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",8,5,"High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"original description: pep primary_assembly:Lsat_Salinas_v7:5:283272544:283273801:-1 gene:gene-LSAT_5X149261 transcript:rna-gnl|WGS:NBSK|LSAT_5X149261_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",38,3,"High","High","High","High","High","High","High","High","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","High","High","High","High","High","High","Peak Found","High","High","Peak Found","High","Peak Found","Peak Found","High","Peak Found","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","Peak Found","High","High","High","Not Found","Peak Found","High"
"swissprot: Protein CHUP1, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:8:50551154:50555868:1 gene:gene-LSAT_8X37441 transcript:rna-gnl|WGS:NBSK|LSAT_8X37441_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",8,6,"Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","High","High","High","Peak Found","Peak Found","High","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High"
"swissprot: Mitochondrial outer membrane protein porin of 36 kDa OS=Solanum tuberosum  | original description: pep primary_assembly:Lsat_Salinas_v7:3:65080136:65082463:-1 gene:gene-LSAT_3X51460 transcript:rna-gnl|WGS:NBSK|LSAT_3X51460_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",25,5,"Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","Not Found","Peak Found","Peak Found"
"swissprot: ATP-dependent Clp protease proteolytic subunit-related protein 3, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:9:201653196:201656716:1 gene:gene-LSAT_9X124360 transcript:rna-gnl|WGS:NBSK|LSAT_9X124360_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",16,4,"High","High","High","High","High","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","Peak Found","High","High","High","Peak Found","Peak Found","Peak Found","High","High","High","High","High","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","High","High","High","High","High","Not Found","High","High"
"swissprot: Probable choline kinase 1 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:6:166015785:166019203:-1 gene:gene-LSAT_6X101381 transcript:rna-gnl|WGS:NBSK|LSAT_6X101381_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",25,6,"High","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","High","High","High","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","High","Peak Found","Peak Found","Peak Found"
"swissprot: L-3-cyanoalanine synthase 2, mitochondrial OS=Malus domestica  | original description: pep primary_assembly:Lsat_Salinas_v7:7:4747995:4753892:-1 gene:gene-LSAT_7X4200 transcript:rna-gnl|WGS:NBSK|LSAT_7X4200_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",21,8,"High","High","High","High","High","High","High","High","Peak Found","High","Peak Found","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Not Found","High","High"
"original description: pep primary_assembly:Lsat_Salinas_v7:7:46012949:46013591:1 gene:gene-LSAT_7X33641 transcript:rna-gnl|WGS:NBSK|LSAT_7X33641_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",21,2,"High","High","High","High","High","Peak Found","High","High","Peak Found","Peak Found","High","High","High","Peak Found","High","High","High","High","High","High","High","High","Peak Found","High","High","High","Peak Found","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","Peak Found","High","High","High","Peak Found","High","High","High","High","Not Found","High","High"
"swissprot: Eukaryotic translation initiation factor 3 subunit B OS=Nicotiana tabacum  | original description: pep primary_assembly:Lsat_Salinas_v7:7:13944424:13948355:1 gene:gene-LSAT_7X11740 transcript:rna-gnl|WGS:NBSK|LSAT_7X11740_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",10,5,"Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Peak Found","Peak Found","Not Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found"
"swissprot: Protein POST-ILLUMINATION CHLOROPHYLL FLUORESCENCE INCREASE, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:1:38517497:38519590:-1 gene:gene-LSAT_1X34401 transcript:rna-gnl|WGS:NBSK|LSAT_1X34401_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:Post-illumination chlorophyll fluorescence increase [Source:Projected from Arabidopsis thaliana (AT3G15840) UniProtKB/TrEMBL;Acc:Q9LVZ5]",18,5,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Not Found","High","Peak Found"
"swissprot: Tocopherol cyclase, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:5:70201305:70214017:-1 gene:gene-LSAT_5X33600 transcript:rna-gnl|WGS:NBSK|LSAT_5X33600_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",9,6,"Peak Found","High","High","Peak Found","High","High","High","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","Peak Found","High","High","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","High","High"
"swissprot: Small ribosomal subunit protein uS11x OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:6:112051018:112052683:1 gene:gene-LSAT_6X69320 transcript:rna-gnl|WGS:NBSK|LSAT_6X69320_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",24,4,"High","High","High","High","High","High","High","Peak Found","High","Peak Found","High","High","High","High","High","High","High","Peak Found","High","High","High","High","Peak Found","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","Peak Found","Peak Found","High","High","High","High","Peak Found","High","High","High","High","High","High","Peak Found","Peak Found","High"
"swissprot: Short-chain dehydrogenase TIC 32, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:3:10162962:10165706:-1 gene:gene-LSAT_3X6761 transcript:rna-gnl|WGS:NBSK|LSAT_3X6761_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",15,3,"Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Not Found","Peak Found","Not Found","Not Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found"
"original description: pep primary_assembly:Lsat_Salinas_v7:1:94279723:94282067:1 gene:gene-LSAT_1X77640 transcript:rna-gnl|WGS:NBSK|LSAT_1X77640_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",18,4,"High","High","High","Peak Found","High","Peak Found","High","Peak Found","Peak Found","High","High","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","High","High","Peak Found","Peak Found","Peak Found","High","High"
"swissprot: 5'-adenylylsulfate reductase 3, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:4:92843613:92846305:1 gene:gene-LSAT_4X59381 transcript:rna-gnl|WGS:NBSK|LSAT_4X59381_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",12,5,"High","High","Peak Found","Peak Found","High","Peak Found","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","High","High","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","High","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","High","High","High","High","High","High","Not Found","High","High"
"swissprot: PsbP domain-containing protein 2, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:5:74054218:74055314:-1 gene:gene-LSAT_5X34560 transcript:rna-gnl|WGS:NBSK|LSAT_5X34560_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",22,5,"Peak Found","High","Peak Found","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found"
"swissprot: Photosynthetic NDH subunit of subcomplex B 2, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:6:51248907:51250707:-1 gene:gene-LSAT_6X36921 transcript:rna-gnl|WGS:NBSK|LSAT_6X36921_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:NDH-dependent cyclic electron flow 1 [Source:Projected from Arabidopsis thaliana (AT1G64770) UniProtKB/TrEMBL;Acc:F4I890]",14,4,"High","High","Peak Found","Peak Found","High","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","High","High","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","High","High","High","Not Found","Peak Found","High"
"swissprot: Thylakoid lumenal 17.9 kDa protein, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:1:33687712:33688947:-1 gene:gene-LSAT_1X33120 transcript:rna-gnl|WGS:NBSK|LSAT_1X33120_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",22,3,"High","High","Peak Found","Peak Found","High","High","High","Peak Found","High","Peak Found","High","Peak Found","Peak Found","High","Peak Found","Peak Found","High","High","High","High","High","High","Peak Found","High","High","Peak Found","Peak Found","High","High","High","High","High","High","Peak Found","High","Peak Found","High","High","Peak Found","Peak Found","High","High","High","High","Peak Found","High","High","High","High","High","High","Peak Found","High","Peak Found"
"swissprot: Root allergen protein OS=Taraxacum officinale  | original description: pep primary_assembly:Lsat_Salinas_v7:1:50125875:50136325:-1 gene:gene-LSAT_1X44581 transcript:rna-gnl|WGS:NBSK|LSAT_1X44581_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",30,4,"Not Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","High","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","High","Not Found","Peak Found","Not Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found"
"swissprot: Phosphoribosylamine--glycine ligase, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:7:126366629:126369423:-1 gene:gene-LSAT_7X76800 transcript:rna-gnl|WGS:NBSK|LSAT_7X76800_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:Phosphoribosylamine--glycine ligase, chloroplastic [Source:Projected from Arabidopsis thaliana (AT1G09830) UniProtKB/Swiss-Prot;Acc:P52420]",14,5,"High","High","High","High","High","Peak Found","High","High","High","Peak Found","Peak Found","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","Peak Found","Peak Found","High","Peak Found","Peak Found","High","High","High","Peak Found","Peak Found","High","High","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","High","Peak Found","High","High","High","High","High","Peak Found","Not Found","High","High"
"original description: pep primary_assembly:Lsat_Salinas_v7:2:201560105:201563186:1 gene:gene-LSAT_2X122660 transcript:rna-gnl|WGS:NBSK|LSAT_2X122660_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",13,6,"Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Not Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","High"
"swissprot: Insulin-degrading enzyme-like 1, peroxisomal OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:9:32080221:32086809:1 gene:gene-LSAT_9X28860 transcript:rna-gnl|WGS:NBSK|LSAT_9X28860_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",10,5,"Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","High","Peak Found","High","High","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found"
"swissprot: Glutathione S-transferase F9 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:7:44029918:44052826:1 gene:gene-LSAT_7X30140 transcript:rna-gnl|WGS:NBSK|LSAT_7X30140_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",13,2,"High","Peak Found","Peak Found","High","Peak Found","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","Peak Found","High","High","High","High","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Not Found","Peak Found","High"
"swissprot: Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:3:172932583:172939145:1 gene:gene-LSAT_3X105260 transcript:rna-gnl|WGS:NBSK|LSAT_3X105260_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",7,4,"Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High","Peak Found","Peak Found","High","Peak Found","Not Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found"
"swissprot: Cytochrome P450 97B2, chloroplastic OS=Glycine max  | original description: pep primary_assembly:Lsat_Salinas_v7:1:66761871:66765551:1 gene:gene-LSAT_1X58321 transcript:rna-gnl|WGS:NBSK|LSAT_1X58321_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:CYP97B3 [Source:Projected from Arabidopsis thaliana (AT4G15110) UniProtKB/TrEMBL;Acc:A0A178V2Z2]",15,6,"Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","High","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","High"
"swissprot: Protein transport protein SEC24 A OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:8:135348790:135354678:1 gene:gene-LSAT_8X93900 transcript:rna-gnl|WGS:NBSK|LSAT_8X93900_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",6,4,"Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Not Found","Peak Found","High","Not Found","Peak Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","High","High","Peak Found","High","Peak Found","Not Found","Peak Found","Not Found","Peak Found","Peak Found","Peak Found","High","High","High","High","Peak Found","High","Peak Found","Peak Found","High"
"original description: pep primary_assembly:Lsat_Salinas_v7:2:171823586:171824990:-1 gene:gene-LSAT_2X94301 transcript:rna-gnl|WGS:NBSK|LSAT_2X94301_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",22,4,"Peak Found","High","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","Not Found","Peak Found","Not Found","Peak Found","High","High","High","High","High","Peak Found","High","High","High","High","High","Peak Found","High","High","High","High","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","Peak Found","Peak Found","High"
"swissprot: Alcohol dehydrogenase 1 OS=Petunia hybrida  | original description: pep primary_assembly:Lsat_Salinas_v7:6:158599934:158602533:1 gene:gene-LSAT_6X96701 transcript:rna-gnl|WGS:NBSK|LSAT_6X96701_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:Alcohol dehydrogenase class-P [Source:Projected from Arabidopsis thaliana (AT1G77120) UniProtKB/Swiss-Prot;Acc:P06525]",18,4,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","High","Peak Found","Not Found","Peak Found","Peak Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Not Found","Not Found","Peak Found"
"swissprot: Bifunctional riboflavin kinase/FMN phosphatase OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:7:25245364:25248476:-1 gene:gene-LSAT_7X19661 transcript:rna-gnl|WGS:NBSK|LSAT_7X19661_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:FMN/FHY [Source:Projected from Arabidopsis thaliana (AT4G21470) UniProtKB/TrEMBL;Acc:A0A178V341]",8,2,"High","High","High","Not Found","Peak Found","High","High","Peak Found","Not Found","High","High","Not Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","Not Found","Peak Found","Peak Found","High","High","Peak Found","Not Found","Not Found","Not Found","Peak Found","High","High","Peak Found","Peak Found","High","High","High","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","Not Found","High","High","High","High","High","High","Not Found","High","High"
"original description: pep primary_assembly:Lsat_Salinas_v7:5:304358039:304360258:1 gene:gene-LSAT_5X164500 transcript:rna-gnl|WGS:NBSK|LSAT_5X164500_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",15,3,"High","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","High","High","High","High","High","High","Peak Found","Peak Found","High","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","High","Peak Found","High","High","Peak Found","Peak Found","Peak Found","High","High","High","Peak Found","High","Peak Found","High","High","Peak Found","High","Not Found","High","High"
